ID,timePoint,samp,Vegetation,Precip,substrate,genesPerMillionReads
46X,5,T3,CSS,Ambient,starch,105789.6633
48X,5,T3,CSS,Ambient,starch,111980.0384
27X,5,T3,CSS,Ambient,starch,106476.5442
32X,5,T3,CSS,Ambient,starch,128674.7354
48X,3,T2,CSS,Ambient,starch,106422.2436
32X,3,T2,CSS,Ambient,starch,119186.6647
27X,3,T2,CSS,Ambient,starch,110609.4121
46X,3,T2,CSS,Ambient,starch,112245.4771
27X,6,T4,CSS,Ambient,starch,152009.598
48X,6,T4,CSS,Ambient,starch,161794.8886
46X,6,T4,CSS,Ambient,starch,138370.1742
32X,6,T4,CSS,Ambient,starch,141546.5194
25R,0,T1,CSS,Reduced,starch,95698.68153
35R,0,T1,CSS,Reduced,starch,90470.97887
47R,0,T1,CSS,Reduced,starch,118692.7006
45R,0,T1,CSS,Reduced,starch,150904.1253
47R,5,T3,CSS,Reduced,starch,119068.1321
25R,5,T3,CSS,Reduced,starch,106575.8036
45R,5,T3,CSS,Reduced,starch,93939.92958
35R,5,T3,CSS,Reduced,starch,141548.7805
25R,3,T2,CSS,Reduced,starch,96914.80775
45R,3,T2,CSS,Reduced,starch,110906.8765
47R,3,T2,CSS,Reduced,starch,109190.0437
35R,3,T2,CSS,Reduced,starch,124600.5029
47R,6,T4,CSS,Reduced,starch,107311.8744
25R,6,T4,CSS,Reduced,starch,111074.6409
35R,6,T4,CSS,Reduced,starch,104473.3056
45R,6,T4,CSS,Reduced,starch,122809.5567
