time,label,veg,prec,ag,ap,bg,bx,cbh,lap,nag,enzyme_c
T1,14RRX,Grass,Reduced,0.3612911803087123,1.259218523863807,2.0062500331151063,1.2465427188444236,2.0891495690972595,0.6902210343842469,1.5944746973352593,2.3877015751159516
T1,18RXX,Grass,Ambient,0.5013384493612103,1.7349493030642962,2.0002175492088026,1.5868458942726005,1.774286227240313,1.0901208974936305,1.8086351202335254,2.303872964573779
T1,20LRX,Grass,Reduced,0.19434524324402336,0.7862220309963709,2.2363116195645723,1.0902970658751632,2.0598481991475515,0.5991702252911707,1.5356689345659829,2.478510488255041
T1,22LXX,Grass,Ambient,0.2811718036981929,1.337995519067186,1.9771744185535303,1.389286308949685,1.7413660484076012,0.475725955896516,1.4834199393678988,2.246559019225875
T1,25LRX,Shrub,Reduced,2.1945529957049916,0.552456000443284,1.5323077398761686,0.10420220516173535,0.695608505675876,3.280442209754064,0.4424455772081858,2.2940504558233337
T1,27RXX,Shrub,Ambient,1.780567329148843,0.8340527365510602,1.1632273547099972,0.08888295315385401,0.15501719245785214,0.395195693987575,0.7102171716045729,1.8895985743863457
T1,32RXX,Shrub,Ambient,-1.1358410282078732,3.824360810478891,0.9587855313194098,-0.7302971596663457,0.046909474369379534,2.794102513029293,-0.02313197573164272,1.0198605900527287
T1,35LRX,Shrub,Reduced,-0.29956120499420924,0.916751713172378,1.4033153759089805,0.9607755226190245,1.0598205944147903,-0.10977469043533432,0.6687404687913697,1.6667636127305423
T1,45LRX,Shrub,Reduced,-0.5631232024835695,0.8656193144009126,1.2484065347878606,0.16915046251806942,0.5377101778209373,0.7812661568334718,0.34192499388794667,1.3601477026320674
T1,46RXX,Shrub,Ambient,2.453650655094468,1.193459402481123,0.9673268543044412,2.6296101014022133,0.0731502780278205,2.822499684260694,0.03952850920582805,2.857858663689103
T1,47RRX,Shrub,Reduced,-0.7358283845238635,0.8763718432534838,1.5094013987666997,1.3851383442264342,1.1839122095252024,0.2950545527907878,0.6173711285232645,1.8576034000551231
T1,48LXX,Shrub,Ambient,-0.18105183140838987,1.0472077239913158,1.3143716981755003,0.346636714895876,0.5782714574564783,0.831590559500572,0.5043788060440059,1.4360239225956777
T1,4LXX,Grass,Ambient,0.6418792916242192,1.4640499072513278,2.0524955936720497,1.6039961678437968,1.8170410665293175,0.7841713641944668,1.5080276125436753,2.3483671691506998
T1,5RRX,Grass,Reduced,0.3338281313875372,0.9478804157874328,2.046377415918034,1.4312805785757323,1.9087161454723685,0.7646129631451836,1.609843249287645,2.345304445906362
T1,7LRX,Grass,Reduced,0.8262336393496816,0.9927348535993069,2.054326824256617,1.2223916267187382,1.8392550272514891,0.9124791559409103,1.6515560966959344,2.3134026881458567
T1,8LXX,Grass,Ambient,0.42377427767953496,1.0901798162655982,1.7056716907814384,1.119347101070692,1.3682919017645503,0.3293246838519583,1.16199665595616,1.9539712516812815
T2,14RRX,Grass,Reduced,0.4575292926268672,0.9886393761232151,1.9337625950477844,2.7717052698672204,1.6477592349862702,0.9200941388786688,1.5328931205467378,2.8599310014962356
T2,18RXX,Grass,Ambient,0.49179868494587187,1.4182953384109747,2.0004626985964373,1.6820630823790854,1.6934195575711264,0.9667383386361383,1.6941930016157751,2.302473111646938
T2,20LRX,Grass,Reduced,0.6061580949157451,1.5758900129791942,1.9812600938955804,1.3007487860052989,1.7223172165842848,0.8110643405983047,1.6425984842796537,2.236948279205611
T2,22LXX,Grass,Ambient,0.5506935444768878,1.2849923680849105,1.991690401664378,1.2912074366146933,1.5714304612522698,0.9986057316816761,1.6723523389942596,2.1999949278294193
T2,25LRX,Shrub,Reduced,0.22637565567261728,1.4733647280121709,1.4861897152399157,4.198536336213642,1.008498187782509,1.4404505881310854,0.7270396625732709,4.199703693442876
