wavelength	t0-14	t0-18	t0-20	t0-22	t0-25	t0-27	t0-32	t0-35	t0-4	t0-45	t0-46	t0-47	t0-48	t0-5	t0-7	t0-8	t3-14	t3-18	t3-20	t3-22	t3-25	t3-27	t3-32	t3-35	t3-4	t3-45	t3-46	t3-47	t3-48	t3-5	t3-7	t3-8	t5-14	t5-18	t5-20	t5-22	t5-25	t5-27	t5-32	t5-35	t5-4	t5-45	t5-46	t5-47	t5-48	t5-5	t5-7	t5-8	t6-14	t6-18	t6-20	t6-22	t6-25	t6-27	t6-32	t6-35	t6-4	t6-45	t6-46	t6-47	t6-48	t6-5	t6-7	t6-8
1402	0.0420107	0.05827278	0.02554532	0.007952975	0.0519849	0.02491274	0.02029677	0.0388028	0.02469714	0.03813434	0.06376409	0.03410404	0.03967801	0.01082279	0.01780116	0.02562495	0.0555522	0.02987451	0.03886575	0.009038613	0.03296322	0.08435284	0.03909639	0.07576798	0.03838168	0.08108123	0.08246304	0.01676579	0.06908257	0.04298136	0.08159143	0.03979084	0.02990726	0.04351192	0.08749495	0.06747189	0.05421909	0.09334362	0.09788644	0.071079	0.08760752	0.05718236	0.06567862	0.09000853	0.03880661	0.06368077	0.06471486	0.04814048	0.1027306	0.02825302	0.07881018	0.06074189	0.08871368	0.06822335	0.04494106	0.1065827	0.07154327	0.0392184	0.06994224	0.08294012	0.04820943	0.06466087	0.05371607	0.03513619
1403.92	0.04220108	0.05846485	0.02583487	0.007977844	0.05177726	0.02476221	0.0201851	0.03858348	0.02470801	0.03799983	0.06362003	0.03387117	0.03951589	0.01085849	0.01801104	0.02570636	0.05602191	0.02997573	0.0389819	0.009087997	0.03287675	0.08419762	0.03899123	0.0753764	0.03877237	0.08139996	0.08170652	0.01670303	0.06874724	0.04325231	0.0831525	0.04005134	0.03017334	0.04367254	0.08815096	0.06775199	0.05426418	0.09346969	0.09757932	0.07080224	0.08799123	0.05706401	0.06537474	0.08987623	0.03862562	0.0640981	0.06547624	0.0484696	0.1037947	0.02847981	0.07993887	0.0609669	0.08893719	0.06813164	0.04473156	0.1061726	0.0718444	0.03941206	0.06991209	0.08262528	0.04822295	0.06555659	0.05423228	0.03540462
1405.85	0.04242406	0.05872565	0.02591338	0.008074127	0.05177987	0.0247321	0.02022417	0.03853828	0.02474088	0.03799986	0.06372876	0.03384055	0.03950741	0.01091058	0.01822371	0.02579118	0.05657356	0.03012273	0.039198	0.009140116	0.03292888	0.08403727	0.03912547	0.07506932	0.03897107	0.08148437	0.08123918	0.0166936	0.06860121	0.04328972	0.08461887	0.04012695	0.03034597	0.04390583	0.08870958	0.06796505	0.05419059	0.09364176	0.09736817	0.07064433	0.08819443	0.05719579	0.06531386	0.0897275	0.0387195	0.06425527	0.06616167	0.048538	0.1046313	0.02866331	0.08089503	0.06103189	0.08908772	0.06799893	0.04467536	0.1058165	0.07214262	0.03971976	0.06998699	0.08238727	0.04829461	0.06637303	0.0544262	0.0354695
1407.78	0.04274699	0.05913832	0.02597741	0.008246881	0.05203376	0.02485714	0.020433	0.03869755	0.02482948	0.03813583	0.06413353	0.0340359	0.03968234	0.01100292	0.01845028	0.02591455	0.05727818	0.03035209	0.03954549	0.009202809	0.03312553	0.08420511	0.03952424	0.07513838	0.03918969	0.08159717	0.08130425	0.0167492	0.06875178	0.04334341	0.08608134	0.04017871	0.03045565	0.04424695	0.08918508	0.06821404	0.05412491	0.09399892	0.09743953	0.07075375	0.08852268	0.05760425	0.06554954	0.08979531	0.03911268	0.06448447	0.06690396	0.0486783	0.1054	0.02894842	0.08184131	0.06112838	0.08940268	0.06810074	0.04481607	0.1057429	0.07253916	0.04013873	0.07021679	0.08248296	0.04839742	0.06743392	0.05455537	0.03549878
1409.71	0.04315366	0.05969637	0.02616054	0.008453884	0.05253559	0.02519299	0.02081478	0.03910771	0.02497485	0.0385256	0.06482328	0.03442893	0.04009881	0.01112497	0.01865933	0.02607873	0.05811954	0.03064256	0.03998024	0.009274004	0.03346637	0.08505632	0.04021841	0.07564881	0.03959753	0.08200952	0.08213837	0.01687098	0.06962039	0.04361174	0.08773872	0.04040998	0.03064194	0.04466105	0.08951884	0.06872696	0.05437902	0.09467811	0.09787225	0.07133932	0.08913057	0.05825192	0.06608773	0.09009055	0.03976541	0.06495724	0.06773693	0.04904759	0.1062695	0.02935715	0.08289146	0.06147413	0.09008719	0.06867005	0.04536815	0.1061179	0.07308459	0.04059497	0.07061061	0.08301086	0.048622	0.06885887	0.05489867	0.03566766
1411.64	0.04354364	0.06029097	0.02634692	0.008626383	0.05313162	0.02563099	0.02126811	0.03968849	0.02513382	0.03908951	0.06561335	0.03488823	0.04064094	0.01122659	0.01878339	0.02624902	0.05895888	0.03091746	0.04040124	0.009340979	0.03385798	0.08630824	0.0410624	0.07633262	0.04002357	0.08247586	0.08347932	0.01701069	0.07094093	0.0438318	0.08946761	0.04068422	0.03089231	0.04505435	0.08960088	0.06937705	0.05475248	0.09559531	0.09848117	0.07223981	0.08970165	0.05897798	0.06675277	0.09039181	0.04049765	0.06536379	0.06853791	0.04949193	0.1070941	0.02971083	0.0837614	0.06181501	0.09084409	0.06947181	0.04615092	0.1067226	0.07372396	0.04096676	0.07104698	0.08368098	0.04888936	0.07039911	0.05532333	0.03583596
1413.57	0.04390009	0.06087168	0.0265555	0.008744246	0.05358238	0.02591458	0.02162901	0.04021798	0.02528101	0.03945396	0.06625024	0.03527066	0.04102337	0.01127683	0.01879547	0.02642395	0.05974234	0.03115384	0.04076478	0.009405964	0.03414781	0.08738963	0.0417583	0.07695545	0.04058535	0.08287792	0.08500242	0.01709058	0.07211863	0.0440181	0.09123878	0.04102305	0.03107354	0.04539944	0.08944868	0.06997024	0.05515488	0.09649658	0.09910338	0.07310632	0.09022426	0.0596022	0.06736334	0.09061199	0.04109363	0.06570805	0.06930659	0.05004084	0.1076114	0.03008787	0.08450893	0.06206281	0.09155442	0.07023759	0.04675272	0.1072814	0.0743643	0.04119441	0.07133029	0.0843026	0.04910227	0.07204738	0.05579871	0.03605955
1415.5	0.04430041	0.06149799	0.02697048	0.008823279	0.05373701	0.02587107	0.02177716	0.04052538	0.02542706	0.03932805	0.06658195	0.03551351	0.04103784	0.01128009	0.01870763	0.02664209	0.0605806	0.03139219	0.04108499	0.00949256	0.03423613	0.08819866	0.04207369	0.07750299	0.04144417	0.08319589	0.08614431	0.01706722	0.07293174	0.04429054	0.09319558	0.04156782	0.0313035	0.0457427	0.0891764	0.07056943	0.05561915	0.09719218	0.09967688	0.07376732	0.09096842	0.06001752	0.06779557	0.09085415	0.04141818	0.06619635	0.07011329	0.05078001	0.1079352	0.03069056	0.08520483	0.06251398	0.09225897	0.07084256	0.04718952	0.1076494	0.07492766	0.04126024	0.0713129	0.08479636	0.04928852	0.07394975	0.05656765	0.03652598
1417.42	0.0447466	0.06218038	0.02733766	0.008835291	0.05360165	0.025548	0.02165961	0.04062823	0.02556396	0.03881358	0.06656659	0.03559617	0.04070141	0.01123871	0.01850042	0.02691256	0.06155102	0.03163077	0.04131432	0.009620352	0.03410441	0.08843236	0.04192527	0.07760715	0.04227566	0.08317778	0.08627303	0.01695663	0.07287002	0.04437343	0.09504177	0.04210322	0.03156402	0.04607343	0.08877736	0.07100893	0.05578292	0.09742869	0.09976491	0.07387111	0.09150857	0.06013685	0.06772046	0.09090234	0.0413727	0.06658879	0.07080032	0.05151254	0.1079744	0.03132438	0.08562142	0.06305731	0.09251785	0.07094619	0.04722787	0.1074063	0.0754181	0.04106935	0.07093478	0.08475253	0.04921934	0.07571375	0.05739	0.03698428
1419.35	0.04510972	0.06272662	0.02703037	0.008727068	0.05330363	0.02515341	0.02130849	0.04065988	0.02563718	0.03825769	0.066249	0.03550306	0.04020334	0.01114972	0.0181595	0.0271747	0.06248665	0.03179576	0.04134122	0.009774908	0.03380967	0.08792247	0.04135974	0.07685871	0.04259045	0.08239631	0.08512575	0.01681178	0.07172242	0.04372712	0.09613635	0.0419376	0.0315973	0.04628346	0.08814136	0.07087393	0.05531135	0.09674703	0.09905674	0.07326338	0.09124559	0.05990104	0.06694207	0.09029417	0.04090687	0.06624146	0.07115334	0.05165146	0.1071882	0.0314595	0.08539496	0.06296364	0.0919508	0.07018339	0.04652888	0.1062436	0.07550424	0.04054013	0.07026632	0.083869	0.04863524	0.07646859	0.05750411	0.03681168
